error_pattern,solution
Adding a directory to the PATH environment variable in Windows,"I am trying to add C:\xampp\php to my system PATH environment variable in Windows.
I have already added it using the Environment Variables dialog box.
But when I type into my console:
C:\>path

it ..."
How do I access command line arguments? [duplicate],"I use python to create my project settings setup, but I need help getting the command line arguments.

I tried this on the terminal:

$python myfile.py var1 var2 var3
In my Python file, I want to use ..."
How do I specify a password to 'psql' non-interactively?,"I am trying to automate database creation process with a shell script and one thing I've hit a road block with passing a password to psql.
Here is a bit of code from the shell script:

psql -U $..."
How to check Django version,"I have to use Python and Django for our application. So, I have two versions of Python, 2.6 and 2.7. Now I have installed Django. I could run the sample application for testing Django successfully. ..."
Node.js version on the command line? (not the REPL),"I want to get the version of Node.js on the command line. I'm expecting to run a command like:

node -version
but that doesn't work. Does anybody know what the command line would be? (i.e. not the ..."
How can I use grep to find a word inside a folder?,"In Windows, I would have done a search for finding a word inside a folder. Similarly, I want to know if a specific word occurs inside a directory containing many sub-directories and files. My searches ..."
How can I pretty print XML content from the command line?,"Related: How can I pretty-print JSON in a shell script?
Is there a (Unix) shell script to format XML content in human-readable form?
Basically, I want it to transform the following:
<root><..."
How do I parse command line arguments in Java?,What is a good way of parsing command line arguments in Java?
How to prevent auto-closing of console after the execution of batch file,What command can I put at the end of a batch file to prevent auto-closing of the console after the execution of the file?
"How do I shutdown, restart, or log off Windows via a bat file?","I've been using Remote Desktop Connection to get into a workstation. But in this environment, I cannot use the power options in Start Menu. I need an alternative way to shutdown or restart.

How do I ..."
What does the number in parentheses shown after Unix command names in manpages mean?,"For example: man(1), find(3), updatedb(2)? 

What do the numbers in parentheses (Brit. ""brackets"") mean?"
Run R script from command line,"I have a file, called a.r, it has a chmod of 755,

sayHello <- function(){
   print('hello')
}

sayHello()
How can I run this via command-line?"
"How can I get a recursive full-path listing, one line per file?","How can I spit out a flat list of recursive one-per-line paths?
For example, I just want a flat listing of files with their full paths:
/home/dreftymac/.
/home/dreftymac/foo.txt
/home/dreftymac/bar...."
How can I create an empty file at the command line in Windows?,"How can I create an empty file at the DOS/Windows command-line?
I tried:
copy nul > file.txt

But it always displays that a file was copied.
Is there another method in the standard cmd?
It should ..."
How to count total lines changed by a specific author in a Git repository?,Is there a command I can invoke which will count the lines changed by a specific author in a Git repository? I know that there must be ways to count the number of commits as Github does this for their ...
How to run SQL script in MySQL?,"I want to execute a text file containing SQL queries, in MySQL.

I tried to run source /Desktop/test.sql and received the error: 
  mysql> . \home\sivakumar\Desktop\test.sql ERROR: Failed to open ..."
How to colorize diff on the command line,"When I have a diff, how can I colorize it so that it looks good?
I want it for the command line, so please no GUI solutions."
How can you find and replace text in a file using the Windows command-line environment?,"I am writing a batch file script using Windows command-line environment and want to change each occurrence of some text in a file (ex. ""FOO"") with another (ex. ""BAR""). What is the simplest way to do ..."
How can I pass an argument to a PowerShell script?,"There's a PowerShell script named itunesForward.ps1 that makes iTunes fast forward 30 seconds:
$iTunes = New-Object -ComObject iTunes.Application

if ($iTunes.playerstate -eq 1)
{
  $iTunes...."
Debugging with command-line parameters in Visual Studio,I'm developing a C++ command-line application in Visual Studio and need to debug it with command-line arguments. At the moment I just run the generated EXE file with the arguments I need (like this ...
Run function from the command line,"I have this code:
def hello():
    return 'Hi :)'

How would I run this directly from the command line?

See also: What does if __name__ == ""__main__"": do? to explain the standard idiom for ..."
Restore a postgres backup file using the command line? [closed],"Locally, I use pgadmin3.  On the remote server, however, I have no such luxury.
I've already created the backup of the database and copied it over, but is there a way to restore a backup from the ..."
Command prompt won't change directory to another drive,"I'm trying to compile some java (learning java currently), and to do so I need to change command-prompt's directory.
C:\...\Admin> cd D:\Docs\Java
C:\...\Admin> cd
C:\...\Admin

It doesn't ..."
"How To: Execute command line in C#, get STD OUT results","How do I execute a command-line program from C# and get back the STD OUT results? Specifically, I want to execute DIFF on two files that are programmatically selected and write the results to a text ..."
Show Procedures/Functions MySQL Command Line,How can I see the list of the stored procedures or stored functions in mysql command line like SHOW TABLES; or SHOW DATABASES; commands.
"What is the purpose of ""&&"" in a shell command?","As far as I know, using & after the command is for running it in the background.
Example of & usage: tar -czf file.tar.gz dirname &
But how about &&? (example)"
How do I launch the Android emulator from the command line?,"I'm on Mac, working on Android development from the terminal.  I have successfully created the HelloWorld project and now I'm trying to run it from the command line in the Android emulator.  Which ..."
How to find out line-endings in a text file?,"I'm trying to use something in bash to show me the line endings in a file printed rather than interpreted. The file is a dump from SSIS/SQL Server being read in by a Linux machine for processing.
Are ..."
Peak memory usage of a linux/unix process [closed],"Is there a tool that will run a command-line and report the peak RAM usage total?

I'm imagining something analogous to /usr/bin/time"
Remove the last line from a file in Bash,"I have a file, foo.txt, containing the following lines:

a
b
c
I want a simple command that results in the contents of foo.txt being:

a
b"
Is there a command line utility for rendering GitHub flavored Markdown?,"I'm wondering if there is a command line utility for taking a GitHub flavored Markdown file and rendering it to HTML.

I'm using a GitHub wiki to create website content. I've cloned the repository on ..."
Run cURL commands from Windows console,Is there a way to install cURL in Windows in order to run cURL commands from the command prompt?
"xcopy file, rename, suppress ""Does xxx specify a file name..."" message","This seems pretty simple and maybe I'm just overlooking the proper flag, but how would I, in one command, copy a file from one directory to another and rename it in the destination directory?  Here's ..."
How to exit a 'git status' list in a terminal?,How can I exit a terminal listing mode generated by the git status command?
"Xcode ""Build and Archive"" from command line","Xcode 3.2 provides an awesome new feature under the Build menu, ""Build and Archive"" which generates an .ipa file suitable for Ad Hoc distribution.  You can also open the Organizer, go to ""Archived ..."
How can I generate a list of files with their absolute path in Linux?,"I am writing a shell script that takes file paths as input.

For this reason, I need to generate recursive file listings with full paths. For example, the file bar has the path:

/home/ken/foo/bar
..."
"How to pretty-print / view tabular file (e.g., CSV) from the command line? [closed]",What are some command-line CSV viewers for Linux or OSX?  I'm thinking of something like less but that spaces out the columns in a more readable way.  (I'd be fine with opening it with OpenOffice Calc ...
How do I get the name of the current executable in C#?,"I want to get the name of the currently running program, that is the executable name of the program. In C/C++ you get it from args[0]."
POST XML file using cURL command line,"How can I POST an XML file to a local server http://localhost:8080 using cURL from the command line?
What command should I use?"
Export MySQL dump from command line,"I am moving away from Linode because I don't have the Linux sysadmin skills necessary; before I complete the transition to a more noob-friendly service, I need to export the contents of a MySQL ..."
How to run JUnit test cases from the command line,"I would like to run JUnit test cases from the command line.
How can I do this?"
How to close git commit editor?,I just executed a command $ git commit and it opens a new editor. But I'm trying to close that new commit editor. How to do this? I'm using Git for Windows.
What is the purpose of the -m switch?,"Could you explain to me what the difference is between calling

python -m mymod1 mymod2.py args
and

python mymod1.py mymod2.py args
It seems in both cases mymod1.py is called and sys.argv is 

['..."
How to connect to MySQL from the command line,"How can you connect to MySQL from the command line in a Mac? (i.e. show me the code) 

I'm doing a PHP/SQL tutorial, but it starts by assuming you're already in MySQL."
How to find which version of TensorFlow is installed in my system?,I need to find which version of TensorFlow I have installed. I'm using Ubuntu 16.04 Long Term Support.
How to checkout a specific Subversion revision from the command line?,"I want to checkout a specific revision of a folder in Subversion using the command line.

I don't see an option for specifying the revision number in TortoiseProc.exe,

TortoiseProc.exe /command:..."
How to best display in Terminal a MySQL SELECT returning too many fields?,"I'm using PuTTY to run:

mysql> SELECT * FROM sometable;
sometable has many fields and this results in many columns trying to be displayed in the terminal. The fields wrap onto the next line so it ..."
Maven command to determine which settings.xml file Maven is using,How do I use maven command line to determine which settings.xml file Maven is picking up?
"Is there a ""standard"" format for command line/shell help text?","If not, is there a de facto standard? Basically I'm writing a command line help text like so:
usage: app_name [options] required_input required_input2
  options:
    -a, --argument     Does something
 ..."
Python not working in the command line of git bash,"Python will not run in git bash (Windows). When I type python in the command line, it takes me to a blank line without saying that it has entered python 2.7.10 like its does in Powershell. It doesn't ..."
What's the best way to parse command line arguments? [duplicate],"What's the easiest, tersest, and most flexible method or library for parsing Python command line arguments?"
How to use arguments from previous command? [closed],"I know that Esc + . gives you the last argument of the last command.

But I'm interested in first argument of the last command.
Is there a key binding to do so?

On the same lines, is there a generic ..."
Windows shell command to get the full path to the current directory?,"Is there a Windows command line command that I can use to get the full path to the current working directory?

Also, how can I store this path inside a variable used in a batch file?"
How can I use Unicode characters on the Windows command line?,"We have a project in Team Foundation Server (TFS) that has a non-English character (š) in it. When trying to script a few build-related things, we've stumbled upon a problem; we can't pass the š ..."
Run function in script from command line (Node JS),I'm writing a web app in Node. If I've got some JS file db.js with a function init in it how could I call that function from the command line?
How to export and import a .sql file from command line with options? [duplicate],"Not Duplicate! looking for some feature have phpmyadmin during export in command line

I want to export and import a .sql file to and from a MySQL database from command line.

Is there any command to ..."
Execute combine multiple Linux commands in one line,"I am trying to merge multiple linux commands in one line to perform deployment operation.
For example

cd /my_folder
rm *.jar
svn co path to repo
mvn compile package install"
Why do you need ./ (dot-slash) before executable or script name to run it in bash?,"When running scripts in bash, I have to write ./ in the beginning:

$ ./manage.py syncdb
If I don't, I get an error message:

$ manage.py syncdb
-bash: manage.py: command not found
What is the ..."
Is there replacement for cat on Windows,"I need to join two binary files with a *.bat script on Windows.

How can I achieve that?"
How can I shuffle the lines of a text file on the Unix command line or in a shell script?,"I want to shuffle the lines of a text file randomly and create a new file. The file may have several thousands of lines.

How can I do that with cat, awk, cut, etc?"
How to recursively download a folder via FTP on Linux [closed],"I'm trying to ftp a folder using the command line ftp client, but so far I've only been able to use 'get' to get individual files."
Linux command to list all available commands and aliases,"Is there a Linux command that will list all available commands and aliases for this terminal session?

As if you typed 'a' and pressed tab, but for every letter of the alphabet.
Or running 'alias' but ..."
How to install JQ on Mac on the command line?,I need to know the most efficient way of installing JQ on Mac (El Capitan). The code is downloaded to my Mac but I would like to know how I can install and operate it via the command line.
How to kill all processes matching a name?,"Say I want to kill every process containing the word amarok. I can print out the commands I want to execute. But how do I actually make the shell execute them. ie.

ps aux | grep -ie amarok | awk '{..."
Create an empty file on the commandline in windows (like the linux touch command),"On a windows machine I get this error

'touch' is not recognized as an internal or external command, operable program or batch file.

I was following these instructions which seem to be linux specific,..."
Get most recent file in a directory on Linux,"Looking for a command that will return the single most recent file in a directory.
Not seeing a limit parameter to ls..."
What is a faster alternative to Python's http.server (or SimpleHTTPServer)?,"Python's http.server (or SimpleHTTPServer for Python 2) is a great way of serve the contents of the current directory from the command line:
python -m http.server

However, as far as web servers go, ..."
Executing command line programs from within python [duplicate],"I'm building a web application that will is going to manipulate (pad, mix, merge etc) sound files and I've found that sox does exactly what I want. Sox is a linux command line program and I'm feeling ..."
How to use sed to replace only the first occurrence in a file?,"I would like to update a large number of C++ source files with an extra include directive before any existing #includes. For this sort of task, I normally use a small bash script with sed to re-write ..."
Find and replace with sed in directory and sub directories,"I run this command to find and replace all occurrences of 'apple' with 'orange' in all files in root of my site:

find ./ -exec sed -i 's/apple/orange/g' {} \;
But it doesn't go through sub ..."
Why use argparse rather than optparse?,"I noticed that the Python 2.7 documentation includes yet another command-line parsing module.  In addition to getopt and optparse we now have argparse.

Why has yet another command-line parsing module ..."
How to diff and only show filenames of files that differ?,I'm looking to run a Linux command that will recursively compare two directories and output only the file names of what is different. This includes anything that is present in one directory and not ...
How to list running screen sessions?,"I have a bunch of servers, on which I run experiments using screen. The procedure is the following :
ssh to server XXX
launch screen
start experiments in a few tabs
detach screen
disconnect from the ..."
How to echo with different colors in the Windows command line,I know that the color bf command sets the colors of the whole command line window but I wanted to to print one single line in a different color.
Stop and Start a service via batch or cmd file?,How can I script a bat or cmd to stop and start a service reliably with error checking (or let me know that it wasn't successful for whatever reason)?
Is there a better Windows Console Window? [closed],"I find working on the command line in Windows frustrating, primarily because the console window is wretched to use compared to terminal applications on linux and OS X such as ""rxvt"", ""xterm"", or ""..."
How do I send a file as an email attachment using Linux command line?,I've created a script that runs every night on my Linux server that uses mysqldump to back up each of my MySQL databases to .sql files and packages them together as a compressed .tar file. The next ...
Pass variables to Ruby script via command line,I've installed RubyInstaller on Windows and I'm running IMAP Sync but I need to use it to sync hundreds of accounts. If I could pass these variables to it via command line I could automate the whole ...
How to check if a process is running via a batch script,"How can I check if an application is running from a batch (well cmd) file?

I need to not launch another instance if a program is already running. (I can't change the app to make it single instance ..."
Command to list all files in a folder as well as sub-folders in windows,"I tried searching for a command that could list all the file in a directory as well as subfolders using a command prompt command.
I have read the help for ""dir"" command but coudn't find what I was ..."
How do I include a pipe | in my linux find -exec command?,"This isn't working.  Can this be done in find?  Or do I need to xargs?
find -name 'file_*' -follow -type f -exec zcat {} \| agrep -dEOE 'grep' \;"
How can I pass variable to ansible playbook in the command line?,"How can one pass variable to ansible playbook in the command line?
The following command didn't work:
$ ansible-playbook -i '10.0.0.1,' yada-yada.yml --tags 'loaddata' django_fixtures=""..."
What encoding/code page is cmd.exe using?,"When I open cmd.exe on Windows, what encoding is it using?
How can I check which encoding it is currently using? 
Does it depend on my regional setting or are there any environment
variables to check?
..."
How to write a multiline command?,"How do we extend a command to the next line?
Basically what's the Windows alternative for Linux's:
ls -l \
/usr/

Here we use backslashes to extend the command onto the next lines.
What's the ..."
How can I read command line parameters from an R script?,"I've got a R script for which I'd like to be able to supply several command-line parameters (rather than hardcode parameter values in the code itself).  The script runs on Windows.

I can't find info ..."
What does cmd /C mean? [closed],"I can understand cmd but not cmd /c. I was trying to invoke a java program from the current for which I use Runtime.getRuntime().exec(""cmd /C java helloworld""); There arises my doubt."
How to get Maven project version to the bash command line,"Previous I issued a question on how to change Maven project vesion from command line which lead me to a new issue.
Previously I was able to get the version number since the version was stored as a ..."
"Command Line Tool - Error - xcrun: error: unable to find utility ""xcodebuild"", not a developer tool or in PATH","I am getting this error while building the SwiftJSON framework to the Some Xcode project through Carthage Dependency Manager.
  Sivaramaiahs-Mac-mini:GZipDemoApp vsoftMacmini5$ carthage update
  --..."
Using multiple delimiters in awk,"I have a file which contain following lines:

/logs/tc0001/tomcat/tomcat7.1/conf/catalina.properties:app.env.server.name = demo.example.com
/logs/tc0001/tomcat/tomcat7.2/conf/catalina.properties:app...."
How can I disable the Maven Javadoc plugin from the command line?,"In pom.xml I have declaration like this
    <plugin>
        <groupId>org.apache.maven.plugins</groupId>
        <artifactId>maven-javadoc-plugin</artifactId>
        <..."
How to find out what group a given user has?,"In Unix/Linux, how do you find out what group a given user is in via command line?"
find filenames NOT ending in specific extensions on Unix?,"Is there a simple way to recursively find all files in a directory hierarchy, that do not end in a list of extensions? E.g. all files that are not *.dll or *.exe

UNIX/GNU find, powerful as it is, ..."
Uninstall Node.JS using Linux command line?,How do you uninstall node.js using the cmd line in linux?
Execute a command without keeping it in history [closed],"When doing software development, there is often need to include confidential information in command line commands. Typical example is setting credentials for deploying the project to a server as ..."
"What does the ""-U"" option stand for in pip install -U","Despite a ton of Googling, I can't find any docs for pip's command line options/arguments. What does pip install -U mean? Does anyone have a link to a list of pip's options and arguments?"
How to run .NET Core console application from the command line,"I have a .NET Core console application and have run dotnet publish. However, I can't figure out how to run the application from the command line. Any hints?"
Find all files with name containing string [closed],I have been searching for a command that will return files from the current directory which contain a string in the filename. I have seen locate and find commands that can find files beginning with ...
How to run mvim (MacVim) from Terminal?,"I have MacVim installed and I am trying to set it up as the editor for Git (version control),  but I can't run 'mvim' from the command line as it isn't recognised. How do I setup mvim so I can run it ..."
Executing multi-line statements in the one-line command-line,"I'm using Python with -c to execute a one-liner loop, i.e.:
python -c ""for r in range(10): print 'rob'""

This works fine. However, if I import a module before the for loop, I get a syntax ..."
how to change directory using Windows command line,"I'm using cmd.exe (C:\WINDOWS\System32\cmd.exe) and I have to change my current directory to ""D:\temp"" i.e. temp folder in the D drive.

When I try to cd nothing happens.

C:\> cd D:\temp

C:\>
..."
Copy Paste in Bash on Ubuntu on Windows,"How to execute a copy paste operation from Windows 10 to the Bash on Ubuntu on Windows environment?

I tried the following:
ctrl + shift + v
right click to paste
Any suggestions?"
How do I run a Java program from the command line on Windows?,"I'm trying to execute a Java program from the command line in Windows.
Here is my code:
import java.io.File;
import java.io.FileInputStream;
import java.io.FileOutputStream;
import java.io.IOException;..."
Can the Unix list command 'ls' output numerical chmod permissions?,"Is it possible when listing a directory to view numerical Unix permissions such as 644, rather than the symbolic output -rw-rw-r-- ?
Thanks."
Create database from command line in PostgreSQL,"I am trying to create a database from command line.
My OS is centos and postgres version is 10.9.
sudo -u postgres psql createdb test
Password for user test:

Why is it prompting me for the password?"
How do I forward parameters to other command in bash script?,"Inside my bash script, I would like to parse zero, one or two parameters (the script can recognize them), then forward the remaining parameters to a command invoked in the script. How can I do that?"
How do I parse command line arguments in Scala? [closed],"What is a good way of parsing command line arguments in Scala?
Related:

How do I parse command line arguments in Java?"
How to merge 2 JSON objects from 2 files using jq?,"I'm using the jq tools (jq-json-processor) in shell script to parse json.
I've got 2 json files and want to merge them into one unique file
Here the content of files:
file1
{
    ""value1"": ..."
How can I use xargs to copy files that have spaces and quotes in their names?,"I'm trying to copy a bunch of files below a directory and a number of the files have spaces and single-quotes in their names.  When I try to string together find and grep with xargs, I get the ..."
maven command line how to point to a specific settings.xml for a single command?,"Is it possible to point to a specific settings file in order to override the default settings.xml being used by maven for a single command?
Example:

mvn clean install -Dparam # -> pass specific ..."
Multiple simultaneous downloads using Wget?,"I'm using wget to download website content, but wget downloads the files one by one.

How can I make wget download using 4 simultaneous connections?"
How to run .sh on Windows Command Prompt?,"How can I run .sh on Windows 7 Command Prompt? I always get this error when I try to run this line in it,

app/build/build.sh
error,

'app' is not recognized...
or,

bash app/build/build.sh
error,

..."
Windows recursive grep command-line,"I need to do a recursive grep in Windows, something like this in Unix/Linux:

grep -i 'string' `find . -print`
or the more-preferred method:

find . -print | xargs grep -i 'string'
I'm stuck with ..."
Delete .DS_STORE files in current folder and all subfolders from command line on Mac [duplicate],"I understand I can use find . -name "".DS_Store"" to find all the .DS_Store files  in the current folder and all subfolders. But how could I delete them from command line simultaneously? I found it's ..."
Shell command to find lines common in two files,"I'm sure I once found a shell command which could print the common lines from two or more files. What is its name?
It was much simpler than diff."
How to reset Jenkins security settings from the command line?,Is there a way to reset all (or just disable the security settings) from the command line without a user/password as I have managed to completely lock myself out of Jenkins?
How to start MySQL server from command line on Mac OS Lion?,"I installed mySQL on my Mac. Beside starting the SQL server with mySQL.prefPane tool installed in System Preferences, I want to know the instructions to start from command-line.
I do as follows:
After
..."
How do you run a single query through mysql from the command line?,"I'm looking to be able to run a single query on a remote server in a scripted task.

For example, intuitively, I would imagine it would go something like:

mysql -uroot -p -hslavedb.mydomain.com ..."
BAT file: Open new cmd window and execute a command in there,"I'm trying to open a new command window in a BAT file:

start %windir%\system32\cmd.exe
After it opens, I'd like to execute a BAT command in the new window:

echo ""test in new window""
How can I do ..."
How to do a non-greedy match in grep?,"I want to grep the shortest match and the pattern should be something like:

<car ... model=BMW ...>
...
...
...
</car>
... means any character and the input is multiple lines."
Visual studio code cmd error: Cannot be loaded because running scripts is disabled on this system,"Inside of visual studio code, I'm trying to execute a script.bat from the command line, but I'm getting the following error:
  File C:\Theses_Repo\train-cnn\environment\Scripts\activate.ps1 cannot be ..."
How to replace ${} placeholders in a text file?,"I want to pipe the output of a ""template"" file into MySQL, the file having variables like ${dbName} interspersed. What is the command line utility to replace these instances and dump the ..."
Take a full page screenshot with Firefox on the command-line,"I'm running Firefox on a Xvfb in a VPS. What I want to do is to take a full page screenshot of the page.

I can redirect Firefox to particular page using

firefox http://google.com
and take a ..."
How to remove all MySQL tables from the command-line without DROP database permissions? [duplicate],"How do I drop all tables in Windows MySQL, using command prompt? The reason I want to do this is that our user has access to the database drops, but no access to re-creating the database itself, for ..."
"Linux equivalent of the Mac OS X ""open"" command [closed]","I've found the ""open"" command in Mac OS X very handy in the command line. From ""man open"":
  The open command opens a file (or a directory or URL), just as if you had
      double-clicked the file's ..."
How do you input command line arguments in IntelliJ IDEA?,I usually input command line arguments in Eclipse via run configuration. But I don't know how do achieve the same task in IntelliJ IDEA.
How to do a simple file search in cmd,"I want to quickly search for a file given its name or part of its name, from the windows command line (not power shell). This is similar to opening explorer and using the search box at the top. 

Note:..."
"Git says ""Warning: Permanently added to the list of known hosts""","Every time I use git to interact with a remote, such as when pulling or pushing, I am shown the following message:
  Warning: Permanently added '...' (RSA) to the list of known hosts.
How can I ..."
How do I use the lines of a file as arguments of a command?,"Say, I have a file foo.txt specifying N arguments

arg1
arg2
...
argN
which I need to pass to the command my_command

How do I use the lines of a file as arguments of a command?"
How to execute shell commands in JavaScript,"I want to write a JavaScript function which will execute the system shell commands (ls for example) and return the value.
How do I achieve this?"
How can I show lines in common (reverse diff)?,"I have a series of text files for which I'd like to know the lines in common rather than the lines which are different between them. Command line Unix or Windows is fine.
File foo:
linux-vdso.so.1 =&..."
How to request Administrator access inside a batch file,"I am trying to write a batch file for my users to run from their Vista machines with UAC.  The file is re-writing their hosts file, so it needs to be run with Administrator permissions.  I need to be ..."
How to change Git log date formats,"I am trying to display the last commit within Git, but I need the date in a special format.

I know that the log pretty format %ad respects the --date format, but the only --date format I can find is ""..."
Making iTerm to translate 'meta-key' in the same way as in other OSes,"In bash shell with emacs key-binding, you can use key combination like M-f, M-b to move one word forward or backward on the shell prompt respectively. Usually, the meta key is mapped to Alt key on ..."
How to trigger XDebug profiler for a command line PHP script?,"XDebug offers the configuration directive xdebug.profiler_enable_trigger that allows to activate profiling by passing the GET or POST parameter ""XDEBUG_PROFILE"" when calling a script via ..."
How to create a file with a given size in Linux?,"For testing purposes I have to generate a file of a certain size (to test an upload limit).  

What is a command to create a file of a certain size on Linux?"
How can I find out if I have Xcode commandline tools installed?,"I need to use gdb.

ps-MacBook-Air:AcoustoExport pi$ gdb
-bash: gdb: command not found

ps-MacBook-Air:AcoustoExport pi$ sudo find / -iname ""*gdb*""
Password:
/usr/local/share/gdb
/usr/local/Cellar/isl/..."
How to create a React app directly in the current folder,I know I've done it before but I can't seem to find the answer anywhere. I want to run create-react-app without creating a whole other folder within the folder I'm already in. I believe it is just an ...
How to loop through files matching wildcard in batch file,"I have a set of base filenames, for each name 'f' there are exactly two files, 'f.in' and 'f.out'.  I want to write a batch file (in Windows XP) which goes through all the filenames, for each one it ..."
Compiling/Executing a C# Source File in Command Prompt,How do you compile and execute a .cs file from a command-prompt window?
How to call VS Code Editor from terminal / command line,"The question says it all.

How can I open VS Code editor from
windows cmd
linux and mac terminal
e.g. for notepad++ I write

> start notepad++ test.txt

By the way, the editor is awesome (cross-..."
Why is my command prompt freezing on Windows 10?,I'm adding this question after spending an entire day wrestling with this incredibly frustrating feature of the Windows 10 command prompt which made me think there was something wrong with my console ...
Unix command to prepend text to a file,"Is there a Unix command to prepend some string data to a text file?

Something like:

prepend ""to be prepended"" text.txt"
Run class in Jar file,"If you have a jar file called myJar.jar located in /myfolder and you want to use the class called myClass from it, how do you go about doing it from the command line?
I thought it would be to go into ..."
How to find the mysql data directory from command line in windows,"In linux I could find the mysql installation directory with the command which mysql. But I could not find any in windows. I tried echo %path% and it resulted many paths along with path to mysql bin. 

..."
https connection using CURL from command line,"I am new to Curl and Cacerts world and facing a problem while connecting to a server.
Basically, I need to test connectivity over https from one machine to another machine.
I have a URL to which I ..."
